user_id,transaction_id,transaction_date,amount
1001,T001,2023-03-15,500.00
1001,T002,2023-04-02,750.50
1002,T003,2023-02-28,1000.00
1003,T004,2023-03-10,250.75
1003,T005,2023-04-05,300.25
1004,T006,2023-01-20,1500.00
1004,T007,2023-03-01,2000.00
1004,T008,2023-04-10,1750.50
1005,T009,2023-02-15,800.00
1005,T010,2023-03-20,950.25
1006,T011,2023-04-01,500.00
1007,T012,2023-01-05,2500.00
1007,T013,2023-02-10,1800.75
1007,T014,2023-03-15,2200.50
1008,T015,2023-03-25,350.00
1008,T016,2023-04-08,400.75
1009,T017,2023-02-20,1200.00
1009,T018,2023-04-05,1500.50
1010,T019,2023-01-30,3000.00
1010,T020,2023-03-30,3500.25